year,household_id,mobilebank_year,income
2017,1,,2039.038
2016,1,,2033.947
2015,1,,2035.802
2014,1,,2033.784
2013,1,,2030.4
2012,1,,2032.982
2011,1,,2030.134
2010,1,,2030.342
2009,1,,2025.784
2008,1,,2028.621
2007,1,,2026.11
2006,1,,2027.576
2005,1,,2027.398
2004,1,,2025.382
2003,1,,2021.303
2002,1,,2025.094
2017,2,,2037.289
2016,2,,2033.627
2015,2,,2031.772
2014,2,,2033.676
2013,2,,2029.411
2012,2,,2027.262
2011,2,,2028.298
2010,2,,2025.718
2009,2,,2024.883
2008,2,,2024.912
2007,2,,2021.415
2006,2,,2024.368
2005,2,,2021.447
2004,2,,2024.176
2003,2,,2018.526
2002,2,,2021.555
2017,3,,2034.522
2016,3,,2035.414
2015,3,,2035.094
2014,3,,2035.005
2013,3,,2029.838
2012,3,,2030.678
2011,3,,2028.453
2010,3,,2028.176
2009,3,,2025.699
2008,3,,2027.474
2007,3,,2022.544
2006,3,,2023.817
2005,3,,2023.731
2004,3,,2024.117
2003,3,,2019.136
2002,3,,2026.181
2017,4,,2038.671
2016,4,,2036.163
2015,4,,2036.311
2014,4,,2032.529
2013,4,,2029.322
2012,4,,2032.204
2011,4,,2027.444
2010,4,,2028.593
2009,4,,2028.104
2008,4,,2025.58
2007,4,,2024.406
2006,4,,2025.055
2005,4,,2025.295
2004,4,,2024.369
2003,4,,2021.473
2002,4,,2023.693
2017,5,,2039.95
2016,5,,2037.449
2015,5,,2035.213
2014,5,,2034.121
2013,5,,2030.655
2012,5,,2032.619
2011,5,,2031.753
2010,5,,2030.994
2009,5,,2029.086
2008,5,,2028.133
2007,5,,2025.439
2006,5,,2026.733
2005,5,,2025.716
2004,5,,2024.399
2003,5,,2021.503
2002,5,,2024.953
2017,6,,2034.889
2016,6,,2031.073
2015,6,,2034.541
2014,6,,2033.754
2013,6,,2031.04
2012,6,,2030.595
2011,6,,2027.697
2010,6,,2026.238
2009,6,,2026.032
2008,6,,2026.503
2007,6,,2022.884
2006,6,,2023.895
2005,6,,2022.666
2004,6,,2024.826
2003,6,,2018.531
2002,6,,2022.59
2017,7,,2032.957
2016,7,,2034.279
2015,7,,2032.833
2014,7,,2032.435
2013,7,,2029.485
2012,7,,2028.596
2011,7,,2025.746
2010,7,,2026.249
2009,7,,2025.43
2008,7,,2023.87
2007,7,,2022.528
2006,7,,2023.41
2005,7,,2022.813
